system:time_start,MVI
"Jul 28, 2021",
"Aug 2, 2021",
"Aug 7, 2021",
"Aug 12, 2021",-7.063
"Aug 17, 2021",
"Aug 22, 2021",7.529
"Aug 27, 2021",
"Sep 1, 2021",
"Sep 6, 2021",
"Sep 11, 2021",
"Sep 16, 2021",2.711
"Sep 21, 2021",
"Sep 26, 2021",2.001
"Oct 1, 2021",2.017
"Oct 6, 2021",
"Oct 11, 2021",
"Oct 16, 2021",
"Oct 21, 2021",2.756
"Oct 26, 2021",2.909
"Oct 31, 2021",0.199
"Nov 5, 2021",2.756
"Nov 10, 2021",2.487
"Nov 15, 2021",
"Nov 20, 2021",8.688
"Nov 25, 2021",2.541
"Nov 30, 2021",2.557
"Dec 5, 2021",
"Dec 10, 2021",2.477
"Dec 15, 2021",
"Dec 20, 2021",2.752
"Dec 25, 2021",2.381
"Dec 30, 2021",
